,Checked (everything but nblast clusters and indirect pathways),Flywire ID_updated,v630 ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin Ints,Is Mirror Twin a Direct KCgd Input (v630)?,Notes,RF_size
104,yes,720575940620455408,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.95,47.0,LO.PLP.109,Lo-47,Both,None,47.0,6.0,0.0,0.0,,14.0,7.205759406188567e+17,Yes,small/med field,153
79,yes,720575940622891242,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.89,178.0,LO.SLP.12,Lo-178,Direct,None,101.0,8.0,0.0,0.0,0.0,3.0,7.205759406229847e+17,Yes,small field,94
78,yes,720575940614530866,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.93,150.0,SLP449,Lo-SLP449,Both,None,77.0,2.0,0.0,0.0,157.0,158.0,7.20575940622985e+17,Yes,small field,113
70,yes,720575940620233966,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.96,80.0,SLP357,SLP357,Direct,None,7.0,1.0,0.0,0.0,0.0,4.0,7.205759406248617e+17,No,small field,218
115,yes,720575940617883003,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.86,193.0,LT75,Lo-LT75,Both,None,60.0,3.0,0.0,0.0,72.0,93.0,7.205759406166205e+17,Yes,medium field (same area as ..447),418
65,yes,720575940636036532,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.94,138.0,VES044,Lo-VES044,Both,None,5.0,1.0,0.0,0.0,41.0,41.0,7.20575940625458e+17,No,small field,202
95,yes,720575940635489387,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.94,191.0,CB0274,Lo-CB0274,Both,None,266.0,11.0,0.0,0.0,259.0,266.0,7.20575940620655e+17,Yes,large field,401
53,yes,720575940642024437,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.87,138.0,VES044,Lo-VES044,Both,None,7.0,1.0,0.0,0.0,8.0,16.0,7.205759406286533e+17,No,small field,265
87,yes,720575940624677303,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.95,90.0,PLP091,Lo-PLP091,Both,Indirect,95.0,9.0,0.0,0.0,224.0,283.0,7.205759406216739e+17,Yes,large field ,227
48,yes,720575940624278057,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.91,175.0,LO.515,Lo-175,Direct,None,10.0,1.0,0.0,0.0,0.0,4.0,7.205759406292598e+17,Yes,small field,149
147,yes,720575940624611405,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.93,80.0,SLP357,Lo-SLP357,Both,None,154.0,9.0,0.0,0.0,97.0,101.0,7.205759406087791e+17,Yes,small/med field,199
35,yes,720575940626849866,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.89,38.0,LO.PLP.479,Lo-38,Direct,None,5.0,1.0,0.0,0.0,0.0,1.0,7.205759406313565e+17,No,,121
29,yes,720575940635169888,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.92,192.0,LT67,Lo-LT67,Both,None,9.0,1.0,0.0,0.0,102.0,110.0,7.205759406323933e+17,Yes,,463
15,yes,720575940638264629,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.93,194.0,PLP126,Lo-PLP126,Both,None,6.0,1.0,0.0,0.0,,32.0,7.205759406365578e+17,No,small field,183
8,yes,720575940645913367,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.91,35.0,hb697882667,Lo-35,Both,None,517.0,24.0,0.0,0.0,,332.0,7.20575940641285e+17,Yes,small/med field,275
179,yes,720575940624587447,7.21e+17,vPN,visual_projection,Lo,Left,acetylcholine,0.93,144.0,LO.PLP.77,Lo-144,Both,None,10.0,1.0,0.0,0.0,,37.0,0.0,can't find,medium field,333
